host-001	srv-beijing-01	192.168.1.1	A	Rack-A01
host-002	srv-beijing-02	192.168.1.2	A	Rack-A01
host-003	srv-beijing-03	192.168.1.3	A	Rack-A02
host-004	srv-beijing-04	192.168.1.4	A	Rack-A02
host-005	srv-beijing-05	192.168.1.5	A	Rack-A03
host-006	srv-shanghai-01	192.168.2.1	B	Rack-B01
host-007	srv-shanghai-02	192.168.2.2	B	Rack-B01
host-008	srv-shanghai-03	192.168.2.3	B	Rack-B02
host-009	srv-shanghai-04	192.168.2.4	B	Rack-B02
host-010	srv-shanghai-05	192.168.2.5	B	Rack-B03
host-011	srv-guangzhou-01	192.168.3.1	C	Rack-C01
host-012	srv-guangzhou-02	192.168.3.2	C	Rack-C01
host-013	srv-guangzhou-03	192.168.3.3	C	Rack-C02
host-014	srv-guangzhou-04	192.168.3.4	C	Rack-C02
host-015	srv-shenzhen-01	192.168.4.1	D	Rack-D01
host-016	srv-shenzhen-02	192.168.4.2	D	Rack-D01
host-017	srv-shenzhen-03	192.168.4.3	D	Rack-D02
host-018	srv-hangzhou-01	192.168.5.1	E	Rack-E01
host-019	srv-hangzhou-02	192.168.5.2	E	Rack-E01
host-020	srv-hangzhou-03	192.168.5.3	E	Rack-E02
host-021	srv-beijing-06	192.168.1.6	A	Rack-A03
host-022	srv-beijing-07	192.168.1.7	A	Rack-A04
host-023	srv-shanghai-06	192.168.2.6	B	Rack-B03
host-024	srv-guangzhou-05	192.168.3.5	C	Rack-C03
host-025	srv-shenzhen-04	192.168.4.4	D	Rack-D02
